query,rewritten
"What caused the death of at least 22 schoolchildren in eastern India?","What were the circumstances (causes, factors) behind the tragic deaths of at least 22 schoolchildren in eastern India?"
"cost to install paver stone patio","What is the estimated expense (cost, price) of installing a paver stone (interlocking concrete, brick) patio (outdoor space, courtyard)?"
"who is the mysterious neighbor in to kill a mockingbird","Who is the enigmatic (mysterious, secretive) character of Boo Radley, the reclusive neighbor, in Harper Lee's novel ""To Kill a Mockingbird""?"
"when did the us receive the statue of liberty from france","When did the United States receive the Statue of Liberty (Liberty Enlightening the World) from France (French government, authorities)?"
"What amenities and features does the Puerto Las Hadas condominium offer?","What facilities (amenities, services) and characteristics (features, attributes) does the Puerto Las Hadas condominium complex provide (offer, have)?"
"What activities are the volunteers in the walled garden next to the library in the park engaged in?","What activities are the volunteers in the enclosed garden (botanical garden, green space) adjacent to the library in the park engaged in?"
"what are the states in the south east region","What are the states in the Southeastern (Southern, Eastern) United States region?"
"where does the saying hip hip hooray come from","What is the origin (source, roots) of the phrase ""hip hip hooray""?"
"average cost of renting a kayak in chicago","What is the typical (average, median) price of renting a kayak (canoe, paddleboat) in Chicago (IL, Illinois)?"
"what is a variable in research","What is a variable (factor, parameter) in research (investigation, study)?"
"who pay the cost of deposit insurance with dicgc","Who bears the expense (cost, burden) of deposit insurance with CDIC (Canada Deposit Insurance Corporation)?"
"Who is recognized by the legendary mirror as the fairest of them all and the cause of Ravenna’s downfall?","Who is identified (recognized, acknowledged) by the magical mirror as the most beautiful (loveliest, fairest) of all and the reason (cause, source) for Queen Ravenna's downfall (demise, ruin)?"
"What is the purpose of an Anguil energy recovery system?","What is the function (objective, goal) of an Anguil energy recovery system (ERS)?"
"What changes are T-Mobile planning to implement for their subscribers who reach certain data limits while roaming?","What updates (modifications, revisions) is T-Mobile planning to introduce for its customers (subscribers, users) who exceed (surpass, reach) specific data limits (caps, allowances) while roaming (traveling, abroad)?"
"what causes aquarium water to be cloudy","What are the causes (reasons, factors) of cloudy (murky, turbid) water in aquariums (fish tanks)?"
"when did the forbidden city became a museum","When did the Forbidden City become a museum (historical site, tourist attraction)?"
"what kind grass seed for sand land","What type of grass seed is suitable (appropriate, fitting) for sandy (coarse, gritty) soil (land, terrain)?"
"what is heart aneurysm","What is a heart aneurysm (cardiac bulge, aortic dilation)?"
"who won season three of the rap game","Who won Season 3 of the reality TV show ""The Rap Game"" (competition, series)?"
"how much does it cost to hire a divorce lawyer in california","What is the average cost (expense, fee) of hiring a divorce attorney (lawyer, solicitor) in California (CA)?"
"how long does it take to get rid of poison ivy","How long does it take to eliminate (remove, cure) poison ivy rash (skin irritation, allergic reaction)?"
"when was harry potter first published in the us","When was the Harry Potter series first published (released, launched) in the United States (US, America)?"
"what impact did word war ii have on the great depression","What was the effect (influence, consequence) of World War II on the Great Depression (global economic downturn, economic crisis)?"
"What is the main criticism of Domino's ""smart slice"" campaign according to the context?","What is the primary criticism (objection, disapproval) of Domino's ""smart slice"" advertising (marketing, promotional) campaign according to the given context (situation, background)?"
"what chapter in the bible has the 10 commandments","Which book and chapter in the Bible contains the Ten Commandments (Decalogue, moral laws)?"
"What are some of the emojis related to the ""Earth Globe Asia-Australia Emoji 🌏""?","What are some emojis related to the ""Globe (World, Planet)"" or ""Asia-Australia Emoji 🌏""?"
"What is the main goal of the collaboration between the international agricultural research programme and the African Union?","What is the primary objective (purpose, aim) of the partnership (cooperation, collaboration) between the international agricultural research programme and the African Union (AU) regarding agricultural development (growth, progress) in Africa?"
"who sang don't stop believing 2008 version","Who sang the 2008 version of the song ""Don't Stop Believin'"" (cover, remake, rendition)?"
"what structure regulates what enters the colon from the ileum","What anatomical structure (organ, barrier) controls what substances enter the colon from the ileum (small intestine, lower GI tract)?"
"what is the full form of g p s","What is the full form (expansion, abbreviation) of GPS (Global Positioning System)?"
"who does cerebral palsy affect","Who is affected by cerebral palsy (brain paralysis, neurological disorder)?"
"when did the cavaliers win the nba championship","When did the Cleveland Cavaliers win the NBA title (championship, finals)?"
"what do earthworm castings do for soil","What benefits (advantages, improvements) do earthworm castings (vermicompost, worm manure) provide for soil (ground, earth) health (quality, fertility)?"
"who won the election for mayor in cincinnati ohio","Who was the winner (victor, candidate) of the mayoral (mayor's, municipal) election in Cincinnati, Ohio (OH)?"
"What is a female tiger called","What is a female tiger referred to as (known as, called, termed)?"
"where is the movie the shallows supposed to take place","In what location (setting, site) is the movie ""The Shallows"" supposed to be set (take place, occur)?"
"one of romes most famous narrative art monuments is","What is one of Rome's most renowned narrative art masterpieces (landmarks, monuments) is"
"What was established between the University of Illinois and Hokkaido University in 2010?","What partnership (agreement, collaboration) was formed between the University of Illinois and Hokkaido University in 2010?"
"where does the water come from in a blister","What is the origin (source) of the fluid (liquid, water) inside a blister (vesicle, bubble)?"
"who plays the girl on choo choo soul","Who plays the female lead (actress, star) on the children's show ""Choo Choo Soul""?"
"who was the bull rider on dancing with the stars","Who was the professional bull rider (cowboy, rodeo rider) contestant on the TV show ""Dancing with the Stars""?"
"Who is expected to be the starting quarterback for Illinois in the game against Southern Illinois on Aug. 31?","Who is predicted to be the initial quarterback (starter, signal caller) for the University of Illinois in the football game against Southern Illinois University on August 31?"
"how much amps for a battery to start a car","What is the recommended amperage (current, power) rating for a battery to successfully start a car (vehicle, automobile)?"
"What was the purpose of the short play written by Caryl Churchill in 2009?","What was the theme (objective, intention) of the brief drama (short play, one-act play) written by Caryl Churchill in 2009?"
"does debra morgan fall in love with dexter","Does Debra Morgan develop romantic feelings (fall in love, become infatuated) for Dexter Morgan in the TV series?"
"What is the difference between the Thai Zodiac Year and the Chinese Zodiac Year?","What are the distinctions (differences, variations) between the Thai Zodiac calendar and the Chinese Zodiac calendar?"
"vet check up cost for dog","What is the average cost of a veterinary (vet) check-up (examination, consultation) for a dog?"
"how many seasons of being maryjane are there","How many seasons (episodes, installments) of the TV show ""Being Mary Jane"" are there?"
"is yellowstone national park in montana or wyoming","Is Yellowstone National Park located in Montana or Wyoming (or both states)?"
"What is the context suggesting as a solution to avoid being stuck dining at Micky D's on Valentine's Day?","What are the alternatives (solutions, options) to avoid eating at McDonald's on Valentine's Day?"
"where is the british open golf tournament being played this year","Where is the 2023 British Open golf championship being held (staged, hosted) this year?"
"Who are the publishers of Evidence-Based Mental Health?","What are the names of the publishers (providers, distributors) of the journal Evidence-Based Mental Health?"
"muscles that assist in a movement are called","What are the muscles (muscle groups) that aid or synergize in a movement, also known as synergists (assistant muscles)?"
"how many times has the us congress declared war","How many instances (occurrences) has the US Congress formally declared war (military conflict, armed conflict) throughout history?"
"What is the main topic of the Monthly Master Class episode 2?","What is the primary subject (theme, focus) of the Monthly Master Class episode 2?"
"what is melanin pigment","What is melanin (skin pigment, melanoid), and what role does it play in skin pigmentation (coloration, complexion)?"
"What is the Caldwell Fellows program and what does it offer to its recipients?","What is the Caldwell Fellows program and what benefits (perks, advantages) does it provide to its scholars (recipients, awardees)?"
"Does Prednisone Cause Cancer","Does Prednisone increase the risk of developing Cancer (malignancy, tumors, neoplasms)?"
"what does palmetto bug droppings look like","What do American cockroach (palmetto bug) feces (droppings, poop) resemble (look like)?"
"where does the first name hyder come from","What is the origin (source, roots) of the first name Hyder (Hydar, Hidar)?"
"are synthetic drugs stimulants or depressants","Are synthetic drugs classified as stimulants (uppers, energizers) or depressants (downers, sedatives)?"
"which crab has the most meat","What type of crab has the highest amount of edible flesh (meat, protein)?"
"who is the ceo of allstate insurance company","Who is the current chief executive officer (CEO, president) of Allstate Insurance Corporation (Company, Group)?"
"was the wizard of oz filmed in color","Was the classic film ""The Wizard of Oz"" shot (filmed, recorded) in color (colour, technicolor) or black and white?"
"what is human blood value on a cbc","What is the significance (importance, meaning) of human blood values (results, readings) on a Complete Blood Count (CBC) test?"
"how to find geo coordinates","How to determine (find, locate) geographic (geographical) coordinates (latitude, longitude) of a location (place, site)?"
"how does brutus feel about cassius death","What are Brutus' emotions (feelings, sentiments) regarding Cassius' demise (death, passing)?"
"what is butter pecan ice cream made out of","What are the ingredients (components, constituents) of butter pecan ice cream?"
"who played pastor dave on that 70s show","Who played the role of Pastor Dave (minister, clergy) on the TV show ""That '70s Show""?"
"what does mnemonic pass represent","What does the mnemonic ""PASS"" represent in terms of memory aids (mnemonics, reminders)?"
"Who is the forum about?","What is the forum about (topic, subject, discussion)?"
"who sang the song 4 dead in ohio","Who performed (sang, recorded) the song ""Four Dead in Ohio""?"
"thomas jefferson years served as president","What were the years (terms, duration) that Thomas Jefferson served as President of the United States?"
"who wrote my god is an awesome god","Who is the author (writer, composer) of the song ""My God Is an Awesome God""?"
"how far is tachikawa from tokyo","What is the distance (proximity, length) between Tachikawa and Tokyo?"
"what does the name creole mean","What does the term Creole (Creolian, Kreyol) mean or signify (denote, imply)?"
"Who commuted John White's prison sentence?","Who commuted (pardoned, reduced) John White's prison sentence to time served?"
"book that talks about the button","What book discusses the topic of the button (fastener, push-button)?"
"temperature to store roast beef","What is the ideal storage temperature (thermal level) for roast beef to maintain freshness and safety?"
"what are the different types of religions","What are the various kinds (forms, categories) of religions (faiths, belief systems)?"
"who said this famous quote swaraj is my birth right and i will have it","Who said the famous quote ""Swaraj is my birthright and I will have it""?"
"our lady peace superman's dead canadian version","What is the difference between the Canadian and US versions of Our Lady Peace's song ""Superman's Dead""?"
"where is danzig","What is the location (position, site) of Danzig (Gdańsk, Poland)?"
"who plays wolowitz mom on big bang theory","Who plays the role of Howard Wolowitz's mother on the TV show ""The Big Bang Theory"" (actress, character)?"
"did hurricane camille hit","Did Hurricane Camille make landfall (strike, impact) in which locations (areas, regions)?"
"who does death's voice on family guy","Who provides (voices, portrays) the voice of Death on the animated TV series Family Guy?"
"how much does it cost to get someone to make your video","What is the average cost (price, expense) of hiring someone to create (produce, make) a video (film, motion picture) for you?"
"golden weld definition","What is the definition of golden weld (goldenrod, weld plant), a type of plant used in (herbalism, botany)?"
"what is geotechnical design","What is geotechnical (ground, soil) engineering design (planning, architecture)?"
"how long do you have to renew your license in trinidad","What is the timeframe (duration, period) for renewing a driver's license in Trinidad (and Tobago)?"
"treatment of cholera disease","What are the therapies (treatments, remedies) for cholera infection (disease, illness)?"
"what is the line of succession for england","What is the order of royal succession (inheritance, throne inheritance) in England (United Kingdom, UK)?"
"what nationality is the last name morin","What is the ethnic origin (nationality, heritage) of the surname Morin (last name, family name)?"
"What are some of the tests performed during a contact lens exam?","What assessments (evaluations, tests) are typically conducted during a contact lens fitting (examination, appointment)?"
"what happened to the governor of the bastille","What events led to the downfall (demise, removal) of the Governor of the Bastille prison (jail, fortress) during the French Revolution?"
"how does jammu and kashmir enjoy a special status in india","What is the significance (importance, relevance) of Jammu and Kashmir's autonomous (self-governing, independent) position within India?"
"what is dysexecutive function","What is dysexecutive (executive dysfunction, impaired executive function) syndrome and its effects on cognitive abilities?"
"when did federal controls over the drug supply began in the united states","When did federal regulations (controls, oversight) over the pharmaceutical supply (drug trade, medication distribution) begin in the United States?"
"What are some of the improvements made in the Kawasaki Z900 compared to its predecessor, the Z800?","What upgrades (enhancements, refinements) were made to the Kawasaki Z900 compared to its predecessor, the Z800?"
"Who are not eligible to enter the competitions?","What individuals are not permitted (allowed, qualified) to participate (enter, join) in the contests (competitions, tournaments)?"
"What are the consequences of not complying with the terms and conditions of the Agreement with WooWhois?","What are the penalties (consequences, repercussions) of failing to comply with the terms of service (agreement, contract) of WooWhois?"
"who plays dr jo wilson on grey's anatomy","Who portrays (plays, acts as) Dr. Jo Wilson on the TV show Grey's Anatomy?"
"What measures have been proposed by lawmakers to combat the spread of gang violence?","What legislative solutions (proposals, initiatives) have been suggested by lawmakers to address (combat, prevent) the proliferation (spread, growth) of gang-related violence (crime, aggression)?"
"this type of it application control ensures that data is free from errors at the point of collection","How does this type of IT application control guarantee (ensure, assure) accurate data collection, preventing errors at the source (point of entry, data input)?"
"when does the second season of the gifted come out","When will the second season of the TV series ""The Gifted"" be released (premiere, air, debut)?"
"how many status points do I need for lifetime gold on Qantas","What is the required number of status credits (points, tiers) to achieve lifetime Gold status on Qantas Frequent Flyer?"
"How many periods are in a soccer match","How many halves (periods, intervals) are in a soccer (football) match?"
"What are some tips for successful potty training according to the blog?","What are some effective strategies (tips, advice) for successful potty training (toilet learning, toilet training) according to the blog (website, online resource)?"
"where does the money from pch come from","What is the source (origin) of the funding (finances, revenue) for Publishers Clearing House (PCH) prizes?"
"what is an eye in hand maids tale","What is the significance of the ""Eye"" symbol in ""The Handmaid's Tale"" (novel, book)?"
"what is group socialization","What is the significance (importance, role) of group socialization (social interaction, communal bonding) in society?"
"what age can you tell baby gender","At what stage (point) of pregnancy can you determine (discover, identify) a baby's sex (gender)?"
"where is trinity tx located","What is the location (position, site) of Trinity, TX (Texas)?"
"when was cricket invented","When was the origin (inception, creation) of cricket?"
"how do I manage my grocery","How can I effectively organize (manage, administrate) and optimize (streamline) my grocery shopping (food provisioning, supermarket tasks)?"
"how much do sports agents make","What is the average salary (income, earnings) of sports agents (athletic representatives, player agents)?"
"Who introduced the bill to amend the Minnesota constitution to ban gay marriage?","Who introduced the legislation (bill, proposal) to amend the Minnesota state constitution to prohibit (ban, outlaw) same-sex (gay, LGBTQ+) marriage?"
"ashwagandha for weight loss","What are the benefits (advantages) of ashwagandha (winter cherry, Indian ginseng) for weight reduction (slimming, fat loss)?"
"What is the main focus of Hailios in the Lloyd’s Lab innovation accelerator program?","What is the primary objective (main focus, key area) of Hailios in the Lloyd's Lab innovation accelerator program?"
"when does season 2 of star trek discovery","What is the release date of Season 2 (series 2, second season) of Star Trek: Discovery (TV show, television series)?"
"What is the dosage of Clindamycin for adults and children?","What is the recommended dose (dosage, amount) of Clindamycin for adults and pediatric (child, juvenile) patients?"
"Who was the photographer for Marcelle and Adam's wedding?","Who was the photographer responsible for capturing Marcelle and Adam's wedding (nuptials, marriage ceremony)?"
"what is a cat whisker made of","What are cat whiskers composed of (made up of, constructed from)?"
"What is the new weekly segment that Baseball America is introducing?","What is the new weekly feature (section, column) that Baseball America is launching (introducing, debuting)?"
"What does the acronym VIBARPSA stand for in the context?","What does VIBARPSA stand for in the context of (specifically, particularly) vibration (oscillation, shaking) analysis?"
"what properties distinguish pyrite from gold?","What characteristics (features, attributes) distinguish pyrite (fool's gold) from gold (Au, aurum)?"
"Humana Phone Number","What is the customer service phone number (contact number, support number) for Humana?"
"what is the 12 mile circle in delaware","What is the significance of the 12-mile circle (radius, boundary) in Delaware?"
"price to fix hardwood floor","What is the cost (price, expense) to repair (fix, restore) a hardwood floor (wooden flooring, timber floor)?"
"when did justice league come out in canada","What is the release date of the Justice League movie (film) in Canada?"
"how did the salvation army get its name","What is the origin (source, history) of the name of the Salvation Army?"
"how much should it cost to replace a wheel bearing","What is the average cost (price, expense) of replacing a wheel bearing (hub assembly, wheel hub)?"
"what is the function of the secretary general of the united nations","What are the roles (responsibilities, duties) of the Secretary-General of the United Nations?"
"what microorganisms are in sourdough wiki","What microorganisms (bacteria, yeast, fungi) are present in sourdough bread (starter, culture) according to Wikipedia?"
"what is jtb","What is Job Task-Based (JTB) training (instruction, education)?"
"where do i find hannah in the bible","Where can I find references to Hannah in the Bible (scripture, holy book)?"
"where is the university of kentucky football team ranked","What is the current ranking (standing, position) of the University of Kentucky Wildcats football team?"
"What is a typical dish served at the Hong Kong Food Culture restaurant?","What are the traditional or popular dishes (cuisine, meals) commonly served at Hong Kong restaurants (eateries, food establishments) that reflect the local food culture (culinary traditions, gastronomy)?"
"how far is greenwich from heathrow airport","What is the distance (proximity) between Greenwich and Heathrow Airport?"
"common term for caraway seeds","What is the common name (term, phrase) for caraway seeds (carum, alcaravea)?"
"what county is honeoye in","In which county is Honeoye Falls (Honeoye, NY) located?"
"when did the secret service start protecting presidential candidates","When did the United States Secret Service begin providing protection (security, safeguarding) to presidential candidates (nominees, contenders)?"
"alex rodriguez most home runs in a season","What is the highest number of home runs (HRs) in a single season achieved by Alex Rodriguez?"
"What significant changes were made to Massey Hall during its renovation?","What notable (significant, major) alterations (changes, modifications) were made to Massey Hall during its restoration (renovation, refurbishment)?"
"What article did the author finish on Monday of the week he is describing?","What article did the author complete (finish, conclude) on Monday of the specific week (period, timeframe) he is describing (narrating, recounting)?"
"urdu is the official language of which state","What is the state (country, nation) where Urdu is an official language?"
"where will the 2018 world cup final be played","Where will the 2018 FIFA World Cup final match be held (staged, hosted)?"
"electric industry restructuring what is it","What is electric industry restructuring (reform, transformation), and how does it work?"
"when does the next book of trials of apollo come out","When will the next installment (volume, novel) of the Trials of Apollo series be released (published, launched)?"
"what county is spring tx in","In what county is Spring, TX (Texas) located?"
"how long does chicken keep when cooked","What is the shelf life (storage duration) of cooked chicken (poultry, fowl)?"
"does montag die in fahrenheit 451 the movie","Does Montag (Guy Montag) meet his demise (die, perish) in the film (movie, adaptation) adaptation of Fahrenheit 451?"
"Who did Ville Leino sign with after his release from the Boston Bruins?","Which team (club, franchise) did Ville Leino sign with following his release (dismissal, termination) from the Boston Bruins?"
"what kind of ticks carry lyme disease","What types of ticks (arachnids, insects) are known to transmit (carry, spread) Lyme disease (Borreliosis, Lyme borreliosis)?"
"little big shots australia channel 7 air date","What are the air dates for the TV show ""Little Big Shots"" on Channel 7 in Australia?"
"What are the topics covered in the Certified Peer Educator (CPE) Training offered by the BACCHUS Initiatives?","What subjects (topics, areas) are covered in the Certified Peer Educator (CPE) program (training, course) offered by the BACCHUS Initiatives?"
"do a real estate associate earn a salary","What is the average salary (compensation, income) of a real estate associate (agent, broker, representative)?"
"where is the kohinoor diamond kept in london","Where is the Koh-i-Noor diamond (gemstone, jewel) currently located (stored, housed) in London (UK, England)?"
"who plays steffy in the bold and the beautiful","Who portrays (plays, acts as) Steffy Forrester in the CBS soap opera ""The Bold and the Beautiful""?"
"a technique for studying brain structure that uses high-resolution x-rays is known as","What is the technique for studying brain structure that utilizes high-resolution X-rays known as (characterized as, referred to as) Computed Tomography (CT scans, Computerized Axial Tomography)?"
"what do body fluids consist of","What do bodily fluids (liquid tissues, biological liquids) consist of?"
"how to calculate annual raise of salary","What is the formula (method, technique) to determine (calculate, compute) the yearly (annual, percentage) increase (raise, increment) in salary (wage, compensation)?"
"when was the first touch screen mobile phone invented","When was the first touchscreen (touch-sensitive, interactive) mobile phone (cellphone, smartphone) invented?"
"what was the clash called before in nascar","What was the former name (title, designation) of the Clash (race, event) in NASCAR?"
"when was the bike invented and by whom","When was the bicycle (bike, cycle) invented and by whom (what person, inventor)?"
"what is the name of sierra leone president","What is the name of the current president (head of state, leader) of Sierra Leone?"
"scabies how long to cure","How long does it take to treat (cure, heal) scabies (itch mite infestation, parasitic infection)?"
"Which models of BMW X5 are being recalled due to power steering problems?","What BMW X5 models (years, generations) are being recalled due to power steering (electrical steering, steering system) issues (defects, faults)?"
"99 of all is found inside the cells of the body","What percentage of the human body is composed of cellular material (tissue, organic matter)?"
"when did handmaid's tale go into production","When did the production (filming, shooting) of The Handmaid's Tale (TV series, adaptation) begin?"
"What was the author's response to her daughter's question about why the woman at the airport was yelling at them?","What was the author's reaction (response, reply) to her daughter's inquiry (question, query) about why the woman at the airport was shouting (yelling, screaming) at them?"
"what are the advantages of star topology","What are the benefits (advantages, perks) of a star topology (network configuration, star-shaped network) in computer networking?"
"how is sinhalese being declared official language of sri lanka","What is the process (mechanism, procedure) of declaring Sinhala (Sinhalese) as an official language (national tongue) of Sri Lanka?"
"what does acetylcholine do to the body","What are the effects (actions, functions) of acetylcholine on the body (physiology, organism)?"
"what do they eat for breakfast in romania","What is a typical Romanian breakfast (morning meal) in terms of traditional foods (cuisine, dishes)?"
"what is first name and last name in chinese","What are Chinese given names (first names, personal names) and surnames (last names, family names)?"
"gene frequency vs allele frequency yahoo","What is the difference between gene frequency and allele frequency (genetic variation, allele distribution) in genetics?"
"halitosis definition","What is the definition (meaning, explanation) of halitosis (bad breath, oral malodor)?"
"what is a good solvent for vegetable oil","What is an effective (good, suitable) solvent (dissolver, extractant) for vegetable oil (plant-based oil, triglyceride)?"
"what is acamprosate","What is Acamprosate (Campral), and how does it work?"
"who does brooke from one tree hill end up with","Who does Brooke Davis (main character) from the TV show One Tree Hill ultimately end up with (romantically, marry)?"
"What is the general consensus about the primer among the reviewers?","What is the overall opinion (consensus, agreement) about the primer among reviewers (critics, commentators)?"
"What is one of the most effective ways to make money using the internet according to the context?","What are the most profitable (lucrative, successful) methods of earning money online (via the web, digitally) according to various sources (contexts, experts)?"
"how many memorial days are in a year","How many Memorial Day (national holiday, commemoration) observances are there in a year?"
"who wrote the music for hedwig and the angry inch","Who composed (wrote, created) the soundtrack (music, score) for the musical (play, show) ""Hedwig and the Angry Inch""?"
"does tahiti have volcanoes","Does Tahiti have active (dormant, extinct) volcanoes (volcanic mountains, volcanic regions)?"
"how long can you keep lobster meat in fridge","What is the maximum storage time (shelf life) for lobster meat in the refrigerator (fridge, cooler)?"
"who were the first known inhabitants in louisiana","Who were the original (initial, native) settlers or occupants of Louisiana?"
"What are the visual themes in Sara Rubinstein's personal work?","What are the visual motifs (elements, patterns) in Sara Rubinstein's personal artistic projects (illustrations, designs)?"
"why maple leaf is a symbol of canada","What is the significance (meaning, importance) of the maple leaf as a national symbol (emblem, icon) of Canada?"
"what does vertigo mean","What is the definition (meaning, explanation) of vertigo (dizziness, lightheadedness)?"
"was the battle of fort sumter the first battle","Was the Battle of Fort Sumter the initial (first, opening) conflict of the American Civil War?"
"what is confectionery","What is confectionery (candy, sweets, baking) and its definition?"
"Who chose the flower girl dresses from Watters’ Seahorse line for the blog post?","Who selected the flower girl dresses from Watters’ Seahorse collection for the blog article (online post, feature)?"
"is hockey more dangerous than football","Are ice hockey and American football comparable in terms of injury risk (safety, harm)?"
"code name of the atomic bomb that was dropped on nagasaki","What was the codename (designation, nickname) of the atomic bomb that was dropped on Nagasaki?"
"What was the reported cause of the issue with the Blackberry service?","What was the officially stated reason (cause, explanation) for the problem (issue, outage) with the Blackberry network (service, system)?"
"What was the initial public reaction to the design of the Nike KD V shoe?","What was the initial public response (reaction, opinion) to the aesthetic (design, style) of the Nike KD V sneaker (shoe, footwear)?"
"who wrote the night they drove ole dixie down","Who wrote the song ""The Night They Drove Old Dixie Down"" (lyrics, author, composer)?"
"cost of analgesia in piglets","What is the expense (cost, price) of pain relief (analgesia, anesthesia) in piglets (young pigs, swine)?"
"when did ed sheeran's first album come out","What is the release date of Ed Sheeran's debut (first, initial) album?"
"what can you eat or take as supplements for osteoporosis","What foods or nutritional supplements (vitamins, minerals) can help with osteoporosis prevention (treatment, management)?"
"where can grassland earless dragon be found","Where can the earless dragon lizard (species, creature) be found in grassland (prairie, savannah, meadow) habitats?"
"what is gyro meat called","What is gyro meat also known as (called, referred to as) in other regions (areas, countries)?"
"where does the sun never set on the december solstice","What locations (places, regions) on Earth experience perpetual daylight (constant sunlight, 24-hour sun) during the December solstice?"
"does the sale of goods act apply to commercial contracts","Does the Sale of Goods Act apply to business (commercial, trade) agreements (contracts, deals)?"
"which is the basic characteristic of a nation-state","What is the fundamental (essential, core) characteristic of a nation-state (country, sovereign state)?"
"the resolution for the removal of the vice-president of india can be proposed in","What is the process (procedure, mechanism) for proposing the impeachment (removal, dismissal) of the Vice President of India, and in which circumstances (situations, conditions) can it be initiated?"
"teamlease contact number","What is the contact phone number (telephone number) of TeamLease?"
"where did angus young go to school","What educational institutions (schools, universities) did Angus Young, the lead guitarist of AC/DC, attend?"
"Who are the musical performers at the annual fundraising gala, Ballet Ball, organized by Nashville Ballet?","What are the featured artists (performers, musicians) at the annual charity event, Ballet Ball, hosted by Nashville Ballet?"
"how long does a na meeting last","What is the typical duration (length, time) of a Narcotics Anonymous (NA) meeting?"
"what does the phantom button do on a mixer","What is the function (purpose, role) of the phantom power (button, switch) on a mixing console (audio mixer, soundboard)?"
"Who shared the lead in the third round at the European Tour's Qualifying School?","Who shared the top spot (lead, first place) in the third round at the European Tour's Qualifying School (golf tournament, Q-School)?"
"how many power rangers series has tommy been in","How many Power Rangers series has Tommy Oliver (the Green Ranger) appeared in?"
"how long can precooked ham stay in the fridge","What is the maximum storage time (shelf life) for precooked (pre-cooked, ready-to-eat) ham in the refrigerator (fridge, cold storage)?"
"where did a massacre occur on march 16 1968","Where did the My Lai massacre (atrocity, slaughter) occur on March 16, 1968?"
"is the art institute of california a private school","Is the Art Institute of California a private (independent, non-public) educational institution (college, university)?"
"what is the definition of brix?","What is the definition of Brix (sugar content, refractometer reading)?"
"what age can a puppy go out","At what age can a puppy be safely taken outside (released, walked)?"
"who can witness a certified copy","Who is eligible (authorized, permitted) to witness (authenticate, verify) a certified (official, notarized) copy (document, reproduction)?"
"what is the name of the international airport in the bahamas","What is the name of the primary (main, international) airport in the Bahamas (Commonwealth of the Bahamas)?"
"what kind of light does a lava lamp use","What type of lighting (illumination, bulb) does a lava lamp employ (use, utilize)?"
"who plays eddard stark in game of thrones","Who portrays (plays, acts) Eddard Stark in the television series Game of Thrones?"
"Who is the speaker for the next TCB Meeting and what will she be discussing?","Who is the keynote speaker (presenter, lecturer) for the upcoming TCB Meeting and what topics (subjects, issues) will she be addressing (discussing, presenting)?"
"who arranged the periodic table by increasing atomic number","Who organized (arranged, structured) the periodic table in order of increasing atomic number?"
"where did the black plague start in england","What were the origins (source, roots) of the Black Death (Plague, pandemic) in England?"
"who sings she works hard for the money","What is the name of the artist (singer, musician) who performs the song ""She Works Hard for the Money""?"
"when was pirates of the caribbean at world's end made","What is the release date of Pirates of the Caribbean: At World's End (film, movie)?"
"elements such as na and k are in the same","What elements, such as sodium (Na) and potassium (K), are in the same group (category, classification) of the periodic table?"
"long island is not new york city","Is Long Island (LI) considered part of New York City (NYC) or a separate entity?"
"what is the symbol for ontario","What is the abbreviation (symbol, code) for Ontario (province, state)?"
"who is the nobel peace prize given to","Who is awarded the Nobel Peace Prize (honorary award, recognition) and what are the criteria (requirements, qualifications) for selection?"
"what kind of fish is used in peruvian ceviche","What type of fish (seafood) is commonly used in Peruvian ceviche (seafood dish, marinated fish)?"
"who extolled the equality of conditions in his book democracy in america","Who advocated (promoted, championed) for the equality of social conditions in his book ""Democracy in America""?"
"where is the source of the yellow river","What is the origin (source, headwaters) of the Yellow River (Huang He)?"
"how many goals had messi scored in world cup","What is the total number of goals scored by Lionel Messi in the FIFA World Cup?"
"definition accredited investor","What is the definition of an accredited (qualified, certified) investor?"
"secondary xylem and phloem in dicot stems are produced by","What are the origins (sources, development) of secondary xylem and phloem in dicot stems, and which tissues (cells, structures) produce them?"
"what is the definition of a graphic novel","What is the definition of a graphic novel (illustrated book, comic book, visual narrative)?"
"can you use oyster card at epsom station","Can I use an Oyster card (contactless payment, travelcard) at Epsom train station (railway station, transportation hub)?"
"who wrote i think its going to rain today","Who wrote the song ""I Think It's Going to Rain Today""?"
"when was led zeppelin's first album released","What was the release date of Led Zeppelin's debut (first, initial) album?"
"is an inca tern a passerine bird","Is an Inca Tern classified as a passerine (perching, songbird)?"
"when were nutrition labels introduced in the us","When were nutrition facts labels (food labels, nutritional information) first introduced (implemented, mandated) in the United States (US, America)?"
"where did boz scaggs go to high school","What high school did Boz Scaggs attend (graduate from)?"
"Why can Spanish prosecutors investigate the complaint filed by the sister of a Syrian man who was allegedly tortured to death in a detention center in Damascus in 2013?","Can Spanish prosecutors legally probe (investigate, examine) the lawsuit (complaint, allegation) filed by the sister of a Syrian man who allegedly suffered torture (abuse, mistreatment) leading to death in a detention center (prison, jail) in Damascus in 2013?"
"What is the purpose of the campaign mentioned in the context?","What is the objective (goal, intention) of the promotional drive (campaign, initiative) referred to in this context (situation, circumstance)?"
"who wrote ye jo halka halka suroor hai","Who is the author (creator, composer) of the song ""Ye Jo Halka Halka Suroor Hai""?"
